code,total
US,587173
ES,172541
IT,159516
FR,136779
DE,130383
GB,88621
CN,82249
IR,74877
TR,61049
BE,31119
NL,27419
CH,25807
CA,25680
BR,23830
RU,21102
PT,17448
AT,14159
IL,11868
SE,11445
IE,10647
KR,10564
IN,10541
PE,9784
JP,7645
EC,7529
CL,7525
PL,7049
RO,6879
NO,6605
DK,6496
AU,6400
CZ,6059
PK,5837
SA,5369
PH,5223
MX,5014
MY,4987
ID,4839
RS,4054
PA,3472
QA,3428
UA,3372
LU,3292
BY,3281
DO,3167
FI,3161
SG,2918
CO,2852
TH,2613
AR,2277
ZA,2272
EG,2190
GR,2145
DZ,1983
MA,1838
IS,1711
HR,1704
BH,1522
HU,1512
IQ,1378
EE,1373
NZ,1366
KW,1355
SI,1220
KZ,1202
AZ,1197
UZ,1113
BA,1083
LT,1070
AM,1067
HK,1013
BD,1012
CM,848
SK,835
OM,813
CU,726
TN,726
AF,714
BG,695
CY,662
LV,657
AD,646
LB,641
CR,612
GH,566
NE,548
BF,515
UY,483
AL,475
KG,430
HN,407
MT,393
JO,391
RE,391
SM,371
GN,363
NG,343
MU,324
SN,299
DJ,298
GE,296
ME,278
VN,266
IM,242
LK,219
KE,208
YT,207
VE,189
GT,167
PY,159
MQ,157
SV,149
GP,145
GI,129
RW,127
ML,123
KH,122
TT,113
MG,108
MC,93
AW,92
GF,86
ET,82
LI,79
TG,77
JM,73
BB,72
MM,62
CG,60
SO,60
LR,59
BM,57
GA,57
PF,55
KY,54
UG,54
BS,49
GY,47
MO,45
ZM,45
HT,40
PR,39
GW,38
BJ,35
ER,34
GU,32
MN,30
SD,29
LY,26
SY,25
AG,23
TD,23
GQ,21
MZ,21
MV,20
AO,19
BZ,18
NC,18
VI,17
ZW,17
DM,16
FJ,16
MW,16
NA,16
NP,16
LC,15
CW,14
GD,14
BW,13
KN,12
GL,11
SC,11
SL,11
MS,11
SR,10
GM,9
NI,9
MR,7
TL,6
EH,6
BT,5
BI,5
SS,4
ST,4
AI,3
PG,2
YE,1
AX,0
AS,0
AQ,0
BN,0
BQ,0
IO,0
BO,0
CF,0
BV,0
CC,0
CV,0
CK,0
CX,0
KM,0
CD,0
CI,0
FO,0
TF,0
FK,0
VA,0
GG,0
HM,0
JE,0
KP,0
NU,0
MH,0
KI,0
LA,0
MK,0
MD,0
NF,0
PW,0
SJ,0
MF,0
TW,0
SB,0
SZ,0
VG,0
TJ,0
TK,0
TM,0
AE,0
LS,0
FM,0
NR,0
MP,0
PN,0
SH,0
VC,0
SX,0
TV,0
WS,0
GS,0
UM,0
PS,0
BL,0
PM,0
TZ,0
TO,0
TC,0
VU,0
WF,0
